Candidate, "Poll No.", Votes
Carvalho, 065, , 59 , 2 , 93 , 11 , 11
Dickson, 065, , 59 , 2 , 93 , 11 , 11
Thavarajasoorier, 065, , 59 , 2 , 93 , 11 , 11
Willert, 065, , 59 , 2 , 93 , 11 , 11

Ashe, 066, , 58 , 1 , 82 , 25 , 13
Carvalho, 066, , 58 , 1 , 82 , 25 , 13
Dickson, 066, , 58 , 1 , 82 , 25 , 13
Thavarajasoorier, 066, , 58 , 1 , 82 , 25 , 13
Willert, 066, , 58 , 1 , 82 , 25 , 13

Ashe, 067, , 69 , 1 , 105 , 21 , 21
Carvalho, 067, , 69 , 1 , 105 , 21 , 21
Dickson, 067, , 69 , 1 , 105 , 21 , 21
Thavarajasoorier, 067, , 69 , 1 , 105 , 21 , 21
Willert, 067, , 69 , 1 , 105 , 21 , 21

Ashe, 068, , 61 , 2 , 84 , 23 , 17
Carvalho, 068, , 61 , 2 , 84 , 23 , 17
Dickson, 068, , 61 , 2 , 84 , 23 , 17
Thavarajasoorier, 068, , 61 , 2 , 84 , 23 , 17
Willert, 068, , 61 , 2 , 84 , 23 , 17

Ashe, 069, , 58 , 0 , 66 , 12 , 14
Carvalho, 069, , 58 , 0 , 66 , 12 , 14
Dickson, 069, , 58 , 0 , 66 , 12 , 14
Thavarajasoorier, 069, , 58 , 0 , 66 , 12 , 14
Willert, 069, , 58 , 0 , 66 , 12 , 14

Ashe, 070, , 83 , 1 , 74 , 13 , 8
Carvalho, 070, , 83 , 1 , 74 , 13 , 8
Dickson, 070, , 83 , 1 , 74 , 13 , 8
Thavarajasoorier, 070, , 83 , 1 , 74 , 13 , 8
Willert, 070, , 83 , 1 , 74 , 13 , 8

Ashe, 071, , 52 , 3 , 82 , 16 , 19
Carvalho, 071, , 52 , 3 , 82 , 16 , 19
Dickson, 071, , 52 , 3 , 82 , 16 , 19
Thavarajasoorier, 071, , 52 , 3 , 82 , 16 , 19
Willert, 071, , 52 , 3 , 82 , 16 , 19

Ashe, 072, , 45 , 1 , 91 , 14 , 6
Carvalho, 072, , 45 , 1 , 91 , 14 , 6
Dickson, 072, , 45 , 1 , 91 , 14 , 6
Thavarajasoorier, 072, , 45 , 1 , 91 , 14 , 6
Willert, 072, , 45 , 1 , 91 , 14 , 6

Ashe, 073, , 79 , 3 , 96 , 17 , 6
Carvalho, 073, , 79 , 3 , 96 , 17 , 6
Dickson, 073, , 79 , 3 , 96 , 17 , 6
Thavarajasoorier, 073, , 79 , 3 , 96 , 17 , 6
Willert, 073, , 79 , 3 , 96 , 17 , 6

Ashe, 074, , 53 , 1 , 130 , 16 , 10
Carvalho, 074, , 53 , 1 , 130 , 16 , 10
Dickson, 074, , 53 , 1 , 130 , 16 , 10
Thavarajasoorier, 074, , 53 , 1 , 130 , 16 , 10
Willert, 074, , 53 , 1 , 130 , 16 , 10

Ashe, 075A, , 33 , 1 , 75 , 13 , 8
Carvalho, 075A, , 33 , 1 , 75 , 13 , 8
Dickson, 075A, , 33 , 1 , 75 , 13 , 8
Thavarajasoorier, 075A, , 33 , 1 , 75 , 13 , 8
Willert, 075A, , 33 , 1 , 75 , 13 , 8

Ashe, 075B, , 75 , 10 , 113 , 12 , 13
Carvalho, 075B, , 75 , 10 , 113 , 12 , 13
Dickson, 075B, , 75 , 10 , 113 , 12 , 13
Thavarajasoorier, 075B, , 75 , 10 , 113 , 12 , 13
Willert, 075B, , 75 , 10 , 113 , 12 , 13

Ashe, 076, , 33 , 0 , 59 , 11 , 11
Carvalho, 076, , 33 , 0 , 59 , 11 , 11
Dickson, 076, , 33 , 0 , 59 , 11 , 11
Thavarajasoorier, 076, , 33 , 0 , 59 , 11 , 11
Willert, 076, , 33 , 0 , 59 , 11 , 11

Ashe, 077, , 38 , 1 , 82 , 9 , 12
Carvalho, 077, , 38 , 1 , 82 , 9 , 12
Dickson, 077, , 38 , 1 , 82 , 9 , 12
Thavarajasoorier, 077, , 38 , 1 , 82 , 9 , 12
Willert, 077, , 38 , 1 , 82 , 9 , 12

Ashe, 078, , 50 , 0 78 , 15 , 3
Carvalho, 078, , 50 , 0 78 , 15 , 3
Dickson, 078, , 50 , 0 78 , 15 , 3
Thavarajasoorier, 078, , 50 , 0 78 , 15 , 3
Willert, 078, , 50 , 0 78 , 15 , 3

Ashe, 079, , 49 , 1 102 , 16 , 9
Carvalho, 079, , 49 , 1 102 , 16 , 9
Dickson, 079, , 49 , 1 102 , 16 , 9
Thavarajasoorier, 079, , 49 , 1 102 , 16 , 9
Willert, 079, , 49 , 1 102 , 16 , 9

Ashe, 080, , 49 , 2 81 , 20 , 6
Carvalho, 080, , 49 , 2 81 , 20 , 6
Dickson, 080, , 49 , 2 81 , 20 , 6
Thavarajasoorier, 080, , 49 , 2 81 , 20 , 6
Willert, 080, , 49 , 2 81 , 20 , 6

Ashe, 081, , 53 , 3 60 , 18 , 19
Carvalho, 081, , 53 , 3 60 , 18 , 19
Dickson, 081, , 53 , 3 60 , 18 , 19
Thavarajasoorier, 081, , 53 , 3 60 , 18 , 19
Willert, 081, , 53 , 3 60 , 18 , 19

Ashe, 082, , 88 , 2 123 , 17 , 12
Carvalho, 082, , 88 , 2 123 , 17 , 12
Dickson, 082, , 88 , 2 123 , 17 , 12
Thavarajasoorier, 082, , 88 , 2 123 , 17 , 12
Willert, 082, , 88 , 2 123 , 17 , 12

Ashe, 083, , 75 , 0 84 , 4 , 6
Carvalho, 083, , 75 , 0 84 , 4 , 6
Dickson, 083, , 75 , 0 84 , 4 , 6
Thavarajasoorier, 083, , 75 , 0 84 , 4 , 6
Willert, 083, , 75 , 0 84 , 4 , 6

Ashe, 084, , 73 , 0 140 , 25 , 12
Carvalho, 084, , 73 , 0 140 , 25 , 12
Dickson, 084, , 73 , 0 140 , 25 , 12
Thavarajasoorier, 084, , 73 , 0 140 , 25 , 12
Willert, 084, , 73 , 0 140 , 25 , 12

Ashe, 085A, , 35 , 2 67 , 10 , 5
Carvalho, 085A, , 35 , 2 67 , 10 , 5
Dickson, 085A, , 35 , 2 67 , 10 , 5
Thavarajasoorier, 085A, , 35 , 2 67 , 10 , 5
Willert, 085A, , 35 , 2 67 , 10 , 5

Ashe, 085B, , 27 , 0 96 , 9 , 7
Carvalho, 085B, , 27 , 0 96 , 9 , 7
Dickson, 085B, , 27 , 0 96 , 9 , 7
Thavarajasoorier, 085B, , 27 , 0 96 , 9 , 7
Willert, 085B, , 27 , 0 96 , 9 , 7

Ashe, 086, , 48 , 0 127 , 20 , 17
Carvalho, 086, , 48 , 0 127 , 20 , 17
Dickson, 086, , 48 , 0 127 , 20 , 17
Thavarajasoorier, 086, , 48 , 0 127 , 20 , 17
Willert, 086, , 48 , 0 127 , 20 , 17

Ashe, 087, , 66 , 0 102 , 19 , 21
Carvalho, 087, , 66 , 0 102 , 19 , 21
Dickson, 087, , 66 , 0 102 , 19 , 21
Thavarajasoorier, 087, , 66 , 0 102 , 19 , 21
Willert, 087, , 66 , 0 102 , 19 , 21

Ashe, 088, , 47 , 1 103 , 12 , 3
Carvalho, 088, , 47 , 1 103 , 12 , 3
Dickson, 088, , 47 , 1 103 , 12 , 3
Thavarajasoorier, 088, , 47 , 1 103 , 12 , 3
Willert, 088, , 47 , 1 103 , 12 , 3

Ashe, 089, , 57 , 2 90 , 14 , 15
Carvalho, 089, , 57 , 2 90 , 14 , 15
Dickson, 089, , 57 , 2 90 , 14 , 15
Thavarajasoorier, 089, , 57 , 2 90 , 14 , 15
Willert, 089, , 57 , 2 90 , 14 , 15

Ashe, 090, , 39 , 3 90 , 15 , 11
Carvalho, 090, , 39 , 3 90 , 15 , 11
Dickson, 090, , 39 , 3 90 , 15 , 11
Thavarajasoorier, 090, , 39 , 3 90 , 15 , 11
Willert, 090, , 39 , 3 90 , 15 , 11

Ashe, 091, , 51 , 3 103 , 6 , 13
Carvalho, 091, , 51 , 3 103 , 6 , 13
Dickson, 091, , 51 , 3 103 , 6 , 13
Thavarajasoorier, 091, , 51 , 3 103 , 6 , 13
Willert, 091, , 51 , 3 103 , 6 , 13

Ashe, 092A, , 31 , 1 65 , 14 , 3
Carvalho, 092A, , 31 , 1 65 , 14 , 3
Dickson, 092A, , 31 , 1 65 , 14 , 3
